"","linear_model$coefficients"
"(Intercept)",2.06588902105441
"ctax",-0.0785068999953184
"ypc2000",-3.7335084470212e-05
"dty",-0.0064899472566883
"trade",0.00650963225880035
"ihc",0.88659854794474
"y2000",0.000102469105185534
